"Interval start","witness 1","witness 2","witness 3"
252,4460,4302,4460
253,4534,4376,4534
254,4460,4302,4460
255,6042,4228,6042
256,5318,6502,5570
257,5228,5468,5138
258,5306,5306,4060
259,3986,3986,3986
260,5318,5654,6744
261,4386,4228,4386
262,4460,4302,4460
263,4534,4376,4534
264,5392,4302,5392
265,4070,5081,5081
266,4228,4386,4386
267,5626,6397,6307
268,3986,3986,4060
269,4060,4060,3986
270,5068,3912,5068
271,4322,4322,3912
272,4144,5234,5234
273,5818,5976,4534
274,4786,4534,4870
275,5239,5542,6395
276,4386,4386,4228
277,5852,5612,5454
278,4460,4460,4376
279,4534,4534,4302
280,5254,5333,5855
281,3912,3912,3912
282,3986,3986,3986
283,4322,4396,3912
284,4134,4060,4134
285,5158,3912,5158
286,4002,4322,4412
287,5318,5378,5318
288,6665,6739,4070
289,4608,4534,4450
290,4386,5632,5474
291,4386,4386,4228
292,4870,5802,5234
293,5081,4144,5081
294,4134,4060,4134
295,3912,3912,3912
296,5239,6092,5081
297,5942,5634,5702
298,5728,4228,5728
299,4134,4134,4134
300,5428,3912,5428
301,3912,3912,3912
302,5392,5392,4302
303,5632,5632,4228
304,4608,4608,4450
305,5318,7154,6064
306,4322,4322,4732
307,6721,6801,5722
308,4870,4870,4302
309,4608,4608,4450
310,4386,4386,4228
311,4386,4386,4228
312,4386,4386,4228
313,4460,5392,5234
314,5382,4292,5382
315,7507,5318,6575
316,4228,4386,4386
317,5380,5778,5538
318,5458,6026,4870
319,4450,4608,4608
320,4228,5632,5632
321,4638,4796,4386
322,5239,4386,5239
323,5392,4460,5392
324,4450,4608,4608
325,4228,4386,4386
326,4228,4386,4386
327,5710,5538,5628
328,5234,4870,5644
329,5303,5713,4702
330,5158,3912,5158
331,3912,3912,3912
332,4070,5081,5081
333,5638,5796,4460
334,5382,5466,4608
335,4386,5548,5632
336,4386,4228,4386
337,6631,6391,5538
338,6166,4460,6166
339,4450,4534,4534
340,4638,4870,4460
341,4228,4386,4386
342,4228,4386,4386
343,4144,5155,5155
344,4134,4060,4060
345,4978,3986,5052
346,4002,3912,4002
347,6823,5462,6823
348,6026,5458,4870
349,4534,4376,4534
350,4460,5548,5706
351,5318,5160,4386
352,4070,5081,5081
353,3986,3986,3986
354,5229,4218,5229
355,4460,4302,4460
356,4386,4228,4386
357,5778,5380,5538
358,5328,4396,4918
359,4060,4060,4060
360,5322,3986,5322
361,5318,4228,5318
362,4386,4228,4386
363,6074,5142,4918
364,4060,4060,4060
365,3986,5232,5232
366,3912,5855,5855
367,5484,5334,5334
368,3986,3986,3986
369,6082,5229,5229
370,4302,4460,4460
371,4228,5318,5318
372,3912,3912,3912
373,3986,3986,3986
374,4060,4060,4060
375,5322,3986,5322
376,3912,3912,3912
377,6928,5484,7108
378,5390,6322,5076
379,5387,4534,5387
380,4460,5976,5818
381,4923,4923,4070
382,4228,5318,5318
383,5392,5644,4870
384,5402,4470,4992
385,4396,4396,3986
386,3912,3912,3912
387,5052,4560,4812
388,3745,3260,3997
389,3586,3823,3823
390,5412,3986,5412
391,3912,4322,4322
392,3912,3912,3912
393,5822,5822,3986
394,3986,3986,4060
395,4060,5666,5592
396,4322,3912,4322
397,5154,5474,5804
398,4554,5644,5234
399,5234,5313,6319
400,4534,4376,4460
401,5160,5318,4386
402,4638,4386,4796
403,4302,4460,4460
404,4302,4460,4534
405,6802,5308,5796
406,4386,4638,4796
407,6233,5462,6233
408,6390,5300,5234
409,4386,4302,4386
410,4608,5532,5764
411,4796,4638,4386
412,5002,4070,5002
413,3986,3986,3986
414,3912,3986,3912
415,4134,4470,4544
416,4322,3912,4322
417,7484,6470,6312
418,4302,4460,4460
419,4228,4460,4386
420,6937,5387,6084
421,4476,4228,4476
